frame,bbox,face_id,detect_conf,track_conf,sex_decfunc,age_decfunc,sex_label,age_label,sex_decfunc_avg,age_decfunc_avg,sex_label_avg,age_label_avg
0,"(437, 84, 471, 118)",0,0.9998424649238586,,0.96975315,4.3312063,m,38.312063217163086,0.96975315,4.3312063,m,38.312063217163086
0,"(521, 121, 555, 155)",1,0.9997656345367432,,0.29838723,3.4812188,m,29.812188148498535,-2.4872947,4.1135736,f,36.135735511779785
0,"(275, 155, 318, 198)",2,0.9996935725212097,,-0.8173155,2.793981,f,22.939810752868652,-0.8173155,2.793981,f,22.939810752868652
0,"(825, 187, 873, 235)",3,0.9960227608680725,,0.978547,5.240028,m,47.40027904510498,-2.5615416,4.0247564,f,35.2475643157959
1,"(521, 122, 555, 156)",1,0.9998593330383301,20.90694088281935,-2.939316,4.110634,f,36.10633850097656,-2.4872947,4.1135736,f,36.135735511779785
1,"(824, 186, 874, 235)",3,0.9975850582122803,21.09683517595502,-1.6010537,4.646279,f,41.462788581848145,-2.5615416,4.0247564,f,35.2475643157959
1,"(281, 158, 321, 198)",4,0.9971900582313538,,-1.8740454,2.7317963,f,22.317962646484375,-1.8740454,2.7317963,f,22.317962646484375
2,"(521, 123, 555, 157)",1,0.9996656179428101,16.517638591305623,-3.327139,3.9427798,f,34.42779779434204,-2.4872947,4.1135736,f,36.135735511779785
2,"(823, 186, 874, 237)",3,0.9972438216209412,22.028160323831713,-1.9509084,3.1596029,f,26.596028804779053,-2.5615416,4.0247564,f,35.2475643157959
2,"(289, 161, 329, 201)",5,0.9998032450675964,,-0.8621788,2.7684755,f,22.684755325317383,-0.8621788,2.7684755,f,22.684755325317383
2,"(513, 231, 559, 276)",6,0.9964359402656555,,-0.14830467,2.6106372,f,21.106371879577637,-0.14830467,2.6106372,f,21.106371879577637
3,"(521, 123, 555, 158)",1,0.9997730255126953,25.46156303456015,-2.460786,4.5237646,f,40.23764610290527,-2.4872947,4.1135736,f,36.135735511779785
3,"(824, 187, 872, 235)",3,0.9982774257659912,17.271426049293567,-1.563825,3.5049176,f,30.04917621612549,-2.5615416,4.0247564,f,35.2475643157959
3,"(294, 162, 335, 203)",7,0.9997928738594055,,-1.6474653,3.37213,f,28.721299171447754,-1.6474653,3.37213,f,28.721299171447754
3,"(517, 230, 566, 278)",8,0.9985520839691162,,-0.9570372,2.9599845,f,24.59984540939331,-0.9570372,2.9599845,f,24.59984540939331
4,"(522, 124, 557, 159)",1,0.9999130964279175,20.935046591678198,-3.1347015,4.4872184,f,39.87218379974365,-2.4872947,4.1135736,f,36.135735511779785
4,"(824, 188, 872, 236)",3,0.9984570741653442,23.832619407922827,-1.5928302,3.939426,f,34.394259452819824,-2.5615416,4.0247564,f,35.2475643157959
4,"(304, 163, 342, 201)",9,0.9991020560264587,,-0.8780683,3.2303834,f,27.303833961486816,-0.25812584,2.970573,f,24.705729484558105
4,"(526, 230, 573, 277)",10,0.9974042773246765,,0.58926594,2.6076562,m,21.07656240463257,0.58926594,2.6076562,m,21.07656240463257
5,"(524, 126, 558, 160)",1,0.9999932646751404,20.087494087771013,-3.360213,4.1358247,f,36.35824680328369,-2.4872947,4.1135736,f,36.135735511779785
5,"(824, 189, 871, 236)",3,0.9983842968940735,25.051788241747253,-3.7388232,4.358872,f,38.58871936798096,-2.5615416,4.0247564,f,35.2475643157959
5,"(307, 162, 346, 200)",9,0.9994254112243652,18.34838103054377,0.36181664,2.7107625,m,22.107625007629395,-0.25812584,2.970573,f,24.705729484558105
6,"(823, 189, 871, 236)",3,0.9977133274078369,25.942281258354292,-3.392973,4.034959,f,35.34958839416504,-2.5615416,4.0247564,f,35.2475643157959
6,"(312, 161, 350, 199)",11,0.9988849759101868,,2.0304358,3.5022395,m,30.02239465713501,1.3738201,3.1352167,m,26.3521671295166
6,"(443, 89, 477, 123)",12,0.9988377690315247,,0.548006,3.6444838,m,31.444838047027588,0.70716417,3.7968035,m,32.968034744262695
6,"(546, 239, 588, 282)",13,0.997704029083252,,-0.33545563,3.175001,f,26.750009059906006,-0.33545563,3.175001,f,26.750009059906006
7,"(823, 188, 870, 236)",3,0.9985028505325317,25.48209961205195,-3.6328042,4.829006,f,43.290061950683594,-2.5615416,4.0247564,f,35.2475643157959
7,"(315, 160, 354, 200)",11,0.9981696009635925,13.901817479287477,0.7172043,2.7681942,m,22.681941986083984,1.3738201,3.1352167,m,26.3521671295166
7,"(446, 88, 480, 122)",12,0.9997101426124573,17.66184176902107,0.86632234,3.9491234,m,34.491233825683594,0.70716417,3.7968035,m,32.968034744262695
7,"(530, 127, 563, 160)",14,0.9999786019325256,,-3.0927565,4.999615,f,44.9961519241333,-3.0927565,4.999615,f,44.9961519241333
7,"(553, 237, 599, 283)",15,0.9968116283416748,,-0.6624273,3.065259,f,25.652589797973633,-0.6624273,3.065259,f,25.652589797973633
8,"(820, 187, 872, 239)",3,0.9970792531967163,20.60376228293913,-4.246768,3.3826053,f,28.826053142547607,-2.5615416,4.0247564,f,35.2475643157959
8,"(534, 127, 569, 161)",16,0.9998520016670227,,-2.7845428,4.562378,f,40.623779296875,-3.4142957,4.813062,f,43.130621910095215
8,"(451, 90, 485, 123)",17,0.9996025562286377,,-0.5285427,4.9169693,f,44.16969299316406,-0.5285427,4.9169693,f,44.16969299316406
8,"(562, 240, 612, 290)",18,0.9992127418518066,,0.18467319,2.9335861,m,24.335861206054688,0.18467319,2.9335861,m,24.335861206054688
9,"(821, 187, 873, 238)",3,0.996553361415863,17.687816853786448,-3.2105763,3.3625424,f,28.625423908233643,-2.5615416,4.0247564,f,35.2475643157959
9,"(538, 127, 572, 161)",16,0.9999451041221619,20.161300070246728,-4.0440483,5.0637465,f,45.63746452331543,-3.4142957,4.813062,f,43.130621910095215
9,"(567, 243, 618, 294)",19,0.9996671080589294,,-1.4257239,3.2296624,f,27.296624183654785,-1.4257239,3.2296624,f,27.296624183654785
10,"(824, 187, 873, 235)",3,0.9981566071510315,23.680672231559978,-2.2645164,3.3572798,f,28.572797775268555,-2.5615416,4.0247564,f,35.2475643157959
10,"(575, 251, 626, 302)",20,0.9990689158439636,,-0.8974768,3.4792714,f,29.79271411895752,-0.8974768,3.4792714,f,29.79271411895752
10,"(463, 88, 498, 123)",21,0.9980713725090027,,3.784297,3.7509785,m,32.50978469848633,3.784297,3.7509785,m,32.50978469848633
11,"(826, 188, 873, 234)",3,0.9988882541656494,20.46317123055454,-2.865657,3.9491663,f,34.49166297912598,-2.5615416,4.0247564,f,35.2475643157959
11,"(549, 128, 582, 161)",22,0.9999905228614807,,-2.5768168,4.209334,f,37.09333896636963,-2.5768168,4.209334,f,37.09333896636963
11,"(468, 89, 502, 123)",23,0.99930739402771,,1.8904352,3.4553995,m,29.55399513244629,1.8791883,2.894007,m,23.940069675445557
11,"(583, 261, 629, 307)",24,0.9991191625595093,,-0.9270368,3.0095963,f,25.09596347808838,-0.9270368,3.0095963,f,25.09596347808838
12,"(827, 188, 874, 235)",3,0.997807502746582,18.103415631416947,-1.50404,3.0124407,f,25.124406814575195,-2.5615416,4.0247564,f,35.2475643157959
12,"(471, 88, 507, 124)",23,0.9998744130134583,9.333373495345448,1.9052408,3.430083,m,29.300830364227295,1.8791883,2.894007,m,23.940069675445557
12,"(552, 126, 590, 164)",25,0.9998648762702942,,-1.497064,2.817557,f,23.175570964813232,-0.6237293,2.7822385,f,22.82238483428955
12,"(589, 274, 635, 319)",26,0.9997945427894592,,-2.0283704,2.613793,f,21.13792896270752,-2.0283704,2.613793,f,21.13792896270752
13,"(827, 188, 874, 235)",3,0.9981839060783386,26.93433439506113,-2.1283963,3.8844693,f,33.84469270706177,-2.5615416,4.0247564,f,35.2475643157959
13,"(473, 89, 507, 123)",23,0.9987089037895203,17.569685557308503,3.977492,3.511786,m,30.117859840393066,1.8791883,2.894007,m,23.940069675445557
13,"(556, 126, 594, 164)",25,0.9998549222946167,25.14009228770661,0.24960542,2.7469196,m,22.469196319580078,-0.6237293,2.7822385,f,22.82238483428955
13,"(591, 279, 637, 325)",27,0.9976338148117065,,-0.61765933,2.1112697,f,16.1126971244812,-0.61765933,2.1112697,f,16.1126971244812
14,"(828, 188, 874, 234)",3,0.9981725215911865,18.308138331628612,-3.8389108,4.3329954,f,38.32995414733887,-2.5615416,4.0247564,f,35.2475643157959
