frame,bbox,face_id,detect_conf,track_conf,sex_decfunc,age_decfunc,sex_label,age_label,sex_decfunc_avg,age_decfunc_avg,sex_label_avg,age_label_avg
0,"(576, 120, 618, 162)",0,0.9991965889930725,,-3.3783183,4.460747,f,39.60746765136719,-2.9324625,4.633483,f,41.334829330444336
1,"(576, 122, 618, 163)",0,,15.402502837489493,-3.4729738,4.382875,f,38.828749656677246,-2.9324625,4.633483,f,41.334829330444336
2,"(579, 123, 620, 164)",0,0.9991698861122131,18.84437890628891,-3.163408,3.9921892,f,34.92189168930054,-2.9324625,4.633483,f,41.334829330444336
3,"(580, 124, 621, 166)",0,,18.451823809192483,-3.8418152,4.650901,f,41.50900840759277,-2.9324625,4.633483,f,41.334829330444336
4,"(580, 125, 622, 166)",0,0.9988377094268799,11.346926713320519,-4.223996,5.307214,f,48.0721378326416,-2.9324625,4.633483,f,41.334829330444336
5,"(583, 124, 624, 166)",0,,13.91984670961242,-3.6325219,3.890907,f,33.90907049179077,-2.9324625,4.633483,f,41.334829330444336
6,"(580, 123, 623, 167)",0,0.9987396001815796,8.540423752771993,-1.0808139,4.8724666,f,43.72466564178467,-2.9324625,4.633483,f,41.334829330444336
6,"(720, 87, 753, 120)",1,0.9921079277992249,,2.2959247,3.0385485,m,25.38548469543457,2.3540254,2.419151,m,19.191510677337646
7,"(582, 124, 625, 167)",0,,14.491699495827714,-0.6658531,5.5105643,f,50.1056432723999,-2.9324625,4.633483,f,41.334829330444336
7,"(729, 90, 762, 123)",1,,8.754024860161968,2.4121263,1.7997535,m,12.997535467147827,2.3540254,2.419151,m,19.191510677337646
24,"(582, 128, 623, 169)",2,0.9986235499382019,,0.9352176,4.2073026,m,37.073025703430176,-0.36182863,4.703685,f,42.036848068237305
25,"(581, 129, 621, 170)",2,,11.223282377101693,0.17990911,4.7158265,m,42.158265113830566,-0.36182863,4.703685,f,42.036848068237305
26,"(583, 130, 626, 173)",2,0.9994385838508606,9.066521591384522,-0.46053302,5.4681525,f,49.681525230407715,-0.36182863,4.703685,f,42.036848068237305
27,"(584, 132, 626, 174)",2,,14.745026188139756,-2.1019082,4.4234567,f,39.2345666885376,-0.36182863,4.703685,f,42.036848068237305
30,"(593, 142, 634, 183)",3,0.9980847239494324,,-0.60870194,5.0280423,f,45.280423164367676,-1.9552726,5.248642,f,47.486419677734375
31,"(596, 143, 636, 184)",3,,19.750830150413808,-3.3018432,5.469241,f,49.69241142272949,-1.9552726,5.248642,f,47.486419677734375
32,"(600, 144, 644, 187)",4,0.9994802474975586,,-3.6383798,6.0870857,f,55.87085723876953,-1.913692,6.318721,f,58.18720817565918
32,"(277, 164, 320, 207)",5,0.9963791370391846,,1.1207,3.6470187,m,31.470186710357666,-1.1197522,3.5659206,f,30.6592059135437
33,"(603, 143, 649, 189)",4,,14.940236297733176,-0.18900406,6.5503554,f,60.503554344177246,-1.913692,6.318721,f,58.18720817565918
33,"(273, 160, 317, 203)",5,,11.813993750283304,0.54661405,4.4102664,m,39.10266399383545,-1.1197522,3.5659206,f,30.6592059135437
34,"(277, 160, 318, 201)",5,0.9992862343788147,8.029258681794094,-1.0684457,3.6427107,f,31.427106857299805,-1.1197522,3.5659206,f,30.6592059135437
34,"(609, 147, 656, 194)",6,0.9998292922973633,,-3.3548381,6.1536756,f,56.53675556182861,-2.6332326,6.008805,f,55.08804798126221
35,"(277, 159, 318, 200)",5,,19.28431824947841,-1.905829,4.1916094,f,36.916093826293945,-1.1197522,3.5659206,f,30.6592059135437
35,"(616, 153, 662, 199)",6,,14.554254173081066,-1.9116269,5.863934,f,53.6393404006958,-2.6332326,6.008805,f,55.08804798126221
36,"(276, 158, 318, 199)",5,0.9993991851806641,14.334879884650222,-2.594268,2.659636,f,21.596360206604004,-1.1197522,3.5659206,f,30.6592059135437
36,"(629, 160, 673, 204)",7,0.9995688199996948,,0.047014296,3.7241855,m,32.241854667663574,0.53774226,3.7682922,m,32.68292188644409
37,"(279, 161, 320, 202)",5,,15.788896718667129,-2.817284,2.8442822,f,23.442821502685547,-1.1197522,3.5659206,f,30.6592059135437
37,"(638, 163, 681, 206)",7,,12.74486380328224,1.0284702,3.812399,m,33.12398910522461,0.53774226,3.7682922,m,32.68292188644409
40,"(664, 177, 707, 220)",8,0.9983477592468262,,0.12757099,5.8176007,m,53.17600727081299,-1.8849812,5.0465574,f,45.46557426452637
41,"(670, 181, 713, 225)",8,,12.874581292837098,-3.8975334,4.2755146,f,37.75514602661133,-1.8849812,5.0465574,f,45.46557426452637
44,"(355, 160, 401, 205)",9,0.9833934307098389,,4.142784,3.9357908,m,34.35790777206421,2.5871472,4.0746617,m,35.74661731719971
45,"(361, 159, 407, 205)",9,,17.838208047783443,1.0315104,4.2135324,m,37.135324478149414,2.5871472,4.0746617,m,35.74661731719971
46,"(372, 163, 415, 207)",10,0.9886435270309448,,-0.16764772,3.2582083,f,27.582082748413086,-0.05509515,3.7345715,f,32.3457145690918
47,"(376, 165, 420, 209)",10,,16.018032559466167,0.057457417,4.2109346,m,37.10934638977051,-0.05509515,3.7345715,f,32.3457145690918
48,"(389, 174, 433, 218)",11,0.999695360660553,,3.4228835,3.2985423,m,27.985422611236572,3.428733,3.471087,m,29.710869789123535
49,"(398, 180, 442, 224)",11,,13.317380991497535,3.4345827,3.6436315,m,31.436314582824707,3.428733,3.471087,m,29.710869789123535
50,"(413, 182, 466, 234)",12,0.9977331161499023,,1.6523931,2.688658,m,21.886579990386963,1.2086564,2.759057,m,22.5905704498291
51,"(427, 185, 478, 237)",12,,10.143301533930561,0.7649197,2.8294563,m,23.29456329345703,1.2086564,2.759057,m,22.5905704498291
52,"(443, 187, 500, 244)",13,0.998535692691803,,0.6248356,3.0343664,m,25.343663692474365,0.72579515,2.920506,m,24.20506000518799
53,"(454, 187, 511, 244)",13,,13.354078006047748,0.8267547,2.8066454,m,23.06645393371582,0.72579515,2.920506,m,24.20506000518799
54,"(469, 190, 526, 247)",14,0.9982271790504456,,1.6614758,2.9756434,m,24.756433963775635,0.92462146,3.1245012,m,26.245012283325195
