frame,bbox,face_id,detect_conf,track_conf,sex_decfunc,age_decfunc,sex_label,age_label,sex_decfunc_avg,age_decfunc_avg,sex_label_avg,age_label_avg
0,"(442, 324, 530, 413)",0,0.9938037395477295,,-3.6485465,3.608808,f,31.088080406188965,-3.2185016,3.5772004,f,30.77200412750244
1,"(438, 327, 526, 415)",0,,23.67165785457081,-2.7884567,3.5455925,f,30.455925464630127,-3.2185016,3.5772004,f,30.77200412750244
14,"(465, 120, 504, 158)",1,0.9934844970703125,,2.191416,3.1983042,m,26.983041763305664,2.0187297,3.2120657,m,27.120656967163086
15,"(463, 119, 502, 158)",1,,15.27578996139704,1.0979211,3.2823873,m,27.823872566223145,2.0187297,3.2120657,m,27.120656967163086
16,"(463, 119, 503, 159)",1,0.9929406046867371,16.010655976235004,3.3085725,3.3508792,m,28.50879192352295,2.0187297,3.2120657,m,27.120656967163086
16,"(393, 359, 484, 450)",2,0.9900235533714294,,-7.046256,3.9114022,f,34.11402225494385,-6.4426346,3.8978024,f,33.978023529052734
17,"(462, 119, 501, 158)",1,,12.541002548310164,2.726082,3.2629197,m,27.629196643829346,2.0187297,3.2120657,m,27.120656967163086
17,"(393, 359, 484, 450)",2,,25.287763160656077,-6.419672,3.9463964,f,34.46396350860596,-6.4426346,3.8978024,f,33.978023529052734
18,"(463, 119, 501, 157)",1,0.9992591738700867,13.15071721358769,1.7700226,3.3800435,m,28.800435066223145,2.0187297,3.2120657,m,27.120656967163086
18,"(393, 360, 482, 450)",2,0.9866604804992676,23.136875700120164,-6.118084,3.8089998,f,33.0899977684021,-6.4426346,3.8978024,f,33.978023529052734
19,"(460, 119, 497, 157)",1,,9.917872710903445,1.0183641,2.7978597,m,22.978596687316895,2.0187297,3.2120657,m,27.120656967163086
19,"(394, 360, 484, 450)",2,,26.192427391401225,-6.1865263,3.924411,f,34.24411058425903,-6.4426346,3.8978024,f,33.978023529052734
22,"(453, 116, 500, 164)",3,0.9989606142044067,,1.3331282,3.5232112,m,30.232112407684326,0.5021436,3.6865325,m,31.86532497406006
22,"(397, 354, 494, 452)",4,0.9859753847122192,,-4.9621477,3.5822668,f,30.822668075561523,-3.2365482,3.5543728,f,30.54372787475586
23,"(451, 117, 498, 164)",3,,19.15612769171742,0.8625567,3.7663016,m,32.6630163192749,0.5021436,3.6865325,m,31.86532497406006
23,"(401, 356, 496, 451)",4,,22.5317010478447,-1.5109488,3.5264788,f,30.264787673950195,-3.2365482,3.5543728,f,30.54372787475586
24,"(453, 119, 495, 161)",3,0.9975079894065857,9.426768021548112,-0.13353285,3.6776972,f,31.7769718170166,0.5021436,3.6865325,m,31.86532497406006
25,"(451, 119, 493, 161)",3,,12.266471961288655,-0.05357763,3.7789204,f,32.789204120635986,0.5021436,3.6865325,m,31.86532497406006
26,"(419, 119, 457, 157)",5,0.993664026260376,,1.9753706,3.3910828,m,28.91082763671875,1.8790152,3.3233113,m,28.233113288879395
27,"(418, 119, 457, 157)",5,,18.014355240684942,1.7826599,3.25554,m,27.55539894104004,1.8790152,3.3233113,m,28.233113288879395
50,"(1137, 295, 1178, 336)",6,0.9835247993469238,,3.4616578,4.236204,m,37.36204147338867,2.6863294,4.2123117,m,37.123117446899414
51,"(1135, 295, 1177, 337)",6,,12.709985267528873,1.911001,4.1884193,m,36.884193420410156,2.6863294,4.2123117,m,37.123117446899414
