frame,bbox,face_id,detect_conf,track_conf,sex_decfunc,age_decfunc,sex_label,age_label,sex_decfunc_avg,age_decfunc_avg,sex_label_avg,age_label_avg
0,"(442, 324, 530, 413)",0,0.9938037395477295,,-3.6485465,3.608808,f,31.088080406188965,-3.7419028,3.5830832,f,30.83083152770996
3,"(429, 336, 513, 420)",0,,13.960442907371222,-2.6068816,3.7109935,f,32.10993528366089,-3.7419028,3.5830832,f,30.83083152770996
6,"(419, 343, 502, 426)",0,,15.919544829125707,-2.5834968,2.8223858,f,23.223857879638672,-3.7419028,3.5830832,f,30.83083152770996
9,"(407, 352, 490, 435)",0,,11.129241492083619,-2.6074922,3.479677,f,29.796769618988037,-3.7419028,3.5830832,f,30.83083152770996
12,"(401, 356, 483, 439)",0,,14.261364235106472,-0.5698802,2.9755127,f,24.755127429962158,-3.7419028,3.5830832,f,30.83083152770996
15,"(394, 360, 482, 449)",0,0.9933355450630188,13.638252198130951,-5.711418,3.965936,f,34.65935945510864,-3.7419028,3.5830832,f,30.83083152770996
15,"(464, 119, 503, 158)",1,0.9940529465675354,,1.1338528,3.3364677,m,28.36467742919922,1.6897767,3.248459,m,27.484591007232666
18,"(394, 361, 483, 449)",0,,23.2795175397015,-5.859893,3.8854585,f,33.85458469390869,-3.7419028,3.5830832,f,30.83083152770996
18,"(462, 119, 500, 158)",1,,12.709038217599732,2.2457006,3.1604505,m,26.604504585266113,1.6897767,3.248459,m,27.484591007232666
21,"(398, 360, 487, 448)",0,,19.742079241794055,-6.6732492,3.7856953,f,32.856953144073486,-3.7419028,3.5830832,f,30.83083152770996
24,"(406, 361, 493, 449)",0,,18.217836008604618,-3.914291,3.5649219,f,30.649218559265137,-3.7419028,3.5830832,f,30.83083152770996
27,"(410, 362, 497, 449)",0,,15.676801357704582,-3.24388,4.031442,f,35.31442165374756,-3.7419028,3.5830832,f,30.83083152770996
60,"(1110, 300, 1157, 347)",2,0.9993841052055359,,1.6966925,4.7520456,m,42.520456314086914,2.5886981,4.463808,m,39.63808059692383
63,"(1097, 304, 1144, 351)",2,,13.258804953884052,3.0545304,4.579834,m,40.79833984375,2.5886981,4.463808,m,39.63808059692383
66,"(1080, 307, 1127, 354)",2,,7.97154503076075,3.0148718,4.0595446,m,35.59544563293457,2.5886981,4.463808,m,39.63808059692383
90,"(815, 228, 894, 307)",3,0.9827595353126526,,2.8028243,3.4205844,m,29.205844402313232,2.223597,3.565488,m,30.6548810005188
93,"(814, 230, 892, 308)",3,,14.085819339139935,2.1083786,3.4633262,m,29.633262157440186,2.223597,3.565488,m,30.6548810005188
96,"(817, 230, 895, 308)",3,,8.78485573077557,1.759588,3.812554,m,33.12553882598877,2.223597,3.565488,m,30.6548810005188
120,"(695, 221, 783, 309)",4,0.9942340850830078,,3.073696,3.3293817,m,28.293817043304443,3.3187094,3.1943161,m,26.943161487579346
123,"(687, 225, 773, 311)",4,,18.773038119668655,3.5025792,3.2098403,m,27.098402976989746,3.3187094,3.1943161,m,26.943161487579346
126,"(678, 230, 763, 314)",4,,11.517160505918186,2.1503599,3.3579032,m,28.57903242111206,3.3187094,3.1943161,m,26.943161487579346
129,"(663, 237, 749, 323)",4,,10.437431839898494,4.7948523,2.980738,m,24.807379245758057,3.3187094,3.1943161,m,26.943161487579346
132,"(650, 241, 736, 327)",4,,10.637683705537409,3.0720599,3.093717,m,25.93717098236084,3.3187094,3.1943161,m,26.943161487579346
135,"(942, 260, 1013, 331)",5,0.9986490607261658,,1.3810588,2.9594646,m,24.594645500183105,0.11277717,2.802296,m,23.022959232330322
138,"(936, 251, 1006, 322)",5,,14.930880613114054,0.017630577,2.6556458,m,21.556458473205566,0.11277717,2.802296,m,23.022959232330322
141,"(929, 247, 1001, 319)",5,,14.52967436101038,-0.70489806,2.8225446,f,23.22544574737549,0.11277717,2.802296,m,23.022959232330322
144,"(923, 249, 996, 322)",5,,14.553293341902048,-0.85309684,2.9923232,f,24.923231601715088,0.11277717,2.802296,m,23.022959232330322
147,"(920, 256, 992, 328)",5,,13.974549235158397,0.7231914,2.5815017,m,20.815017223358154,0.11277717,2.802296,m,23.022959232330322
150,"(921, 268, 988, 335)",6,0.9893374443054199,,-0.39937276,3.4530778,f,29.53077793121338,-0.72262603,3.3816729,f,28.816728591918945
153,"(924, 275, 990, 341)",6,,14.14622939226602,-0.046925366,3.1926188,f,26.926188468933105,-0.72262603,3.3816729,f,28.816728591918945
156,"(927, 274, 993, 340)",6,,14.056008480592686,-1.72158,3.4993217,f,29.99321699142456,-0.72262603,3.3816729,f,28.816728591918945
165,"(661, 225, 784, 348)",7,0.9979638457298279,,3.519181,3.5379598,m,30.379598140716553,3.6531684,3.628367,m,31.283669471740723
168,"(651, 239, 778, 366)",7,,10.793057026667915,3.7871559,3.7187738,m,32.1877384185791,3.6531684,3.628367,m,31.283669471740723
195,"(416, 115, 460, 160)",8,0.9968898296356201,,3.953605,4.2445593,m,37.44559288024902,3.9585507,3.7919436,m,32.91943550109863
198,"(417, 113, 461, 158)",8,,18.699643073643582,3.3899345,3.6704555,m,31.704554557800293,3.9585507,3.7919436,m,32.91943550109863
201,"(417, 112, 463, 157)",8,,12.736972049821198,3.4094994,3.5019891,m,30.019891262054443,3.9585507,3.7919436,m,32.91943550109863
204,"(417, 111, 463, 157)",8,,13.935569616259134,3.505441,4.0235267,m,35.23526668548584,3.9585507,3.7919436,m,32.91943550109863
207,"(414, 112, 460, 158)",8,,10.78353964880015,5.534274,3.519187,m,30.191869735717773,3.9585507,3.7919436,m,32.91943550109863
225,"(342, 180, 388, 227)",9,0.9942852854728699,,-0.7853223,3.965307,f,34.65306997299194,-0.9474652,3.7183456,f,32.18345642089844
228,"(348, 181, 394, 227)",9,,11.455959498229305,-1.5467647,3.2274864,f,27.274863719940186,-0.9474652,3.7183456,f,32.18345642089844
231,"(352, 182, 399, 229)",9,,11.900223817372886,-0.62638456,3.495594,f,29.95594024658203,-0.9474652,3.7183456,f,32.18345642089844
234,"(350, 183, 396, 229)",9,,9.839137588756195,-0.8313891,4.1849957,f,36.84995651245117,-0.9474652,3.7183456,f,32.18345642089844
255,"(358, 150, 394, 186)",10,0.981805145740509,,2.1938074,4.7847147,m,42.84714698791504,0.3222699,4.51437,m,40.143699645996094
258,"(356, 149, 392, 186)",10,,16.727440303055367,2.7307637,4.134486,m,36.34486198425293,0.3222699,4.51437,m,40.143699645996094
261,"(356, 151, 393, 188)",10,,14.897627957494402,-2.246691,5.0550227,f,45.55022716522217,0.3222699,4.51437,m,40.143699645996094
264,"(355, 152, 392, 189)",10,,12.49254490542752,-1.3888005,4.0832567,f,35.83256721496582,0.3222699,4.51437,m,40.143699645996094
285,"(422, 123, 457, 158)",11,0.9833024740219116,,1.2936406,3.301375,m,28.01374912261963,1.375923,3.4542694,m,29.542694091796875
288,"(428, 123, 464, 158)",11,,7.87742742701378,1.4582055,3.6071637,m,31.07163667678833,1.375923,3.4542694,m,29.542694091796875
315,"(575, 180, 676, 281)",12,0.9875443577766418,,-4.288226,3.1172347,f,26.17234706878662,-2.8951116,3.1428494,f,26.428494453430176
318,"(565, 185, 665, 286)",12,,13.101183310729299,-2.5781894,3.302005,f,28.020050525665283,-2.8951116,3.1428494,f,26.428494453430176
321,"(559, 194, 657, 292)",12,,11.53024815743282,-1.8189193,3.0093088,f,25.093088150024414,-2.8951116,3.1428494,f,26.428494453430176
360,"(426, 205, 527, 306)",13,0.999197781085968,,-1.3708749,3.2712271,f,27.712271213531494,-1.1211137,3.284505,f,27.845048904418945
363,"(439, 200, 540, 302)",13,,15.605850165394203,-2.6257908,3.3460157,f,28.46015691757202,-1.1211137,3.284505,f,27.845048904418945
366,"(454, 191, 556, 293)",13,,10.98908514705375,-1.7838618,3.4269707,f,29.269707202911377,-1.1211137,3.284505,f,27.845048904418945
369,"(477, 186, 580, 288)",13,,7.392902827558164,1.296073,3.0938056,m,25.938055515289307,-1.1211137,3.284505,f,27.845048904418945
375,"(517, 178, 627, 288)",14,0.9996660351753235,,1.1616318,3.2795763,m,27.79576301574707,-0.04219743,3.0263212,f,25.263211727142334
378,"(532, 174, 643, 285)",14,,17.20639709255675,0.30031514,2.962769,m,24.627690315246582,-0.04219743,3.0263212,f,25.263211727142334
